Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
V5 Global Servic...,3.9,(492 Reviews),Private,"Delhi/NCR,Delhi + 97 more",18 years old,10k-50k Employees (India)
Apollo Munich He...,3.9,(492 Reviews),Public,Gurgaon + 108 more,16 years old,1k-5k Employees (India)
OCS Group,3.9,(491 Reviews),Private,"Mumbai,Maharashtra + 40 more",27 years old,10k-50k Employees (India)
Ugam Solution,3.6,(490 Reviews),Private,"Mumbai,Maharashtra + 10 more",23 years old,1k-5k Employees (India)
Samsung Electron...,4.3,(490 Reviews),Noida + 80 more,1 Lakh+ Employees (Global),,
Gharda Chemicals,4.2,(489 Reviews),Private,"Mumbai,Maharashtra + 37 more",56 years old,1k-5k Employees (India)
Kurlon,4.3,(488 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 77 more",61 years old,1k-5k Employees (India)
Steag Energy Ser...,4.1,(488 Reviews),Private,"Essen,Essen + 28 more",23 years old,1k-5k Employees (India)
Knorr-Bremse,4.1,(487 Reviews),Private,Munich + 14 more,10 years old,501-1k Employees (India)
Eveready Industr...,4.0,(485 Reviews),Public,"Kolkata,West Bengal + 50 more",89 years old,1k-5k Employees (India)
Qualcomm,4.1,(487 Reviews),Private,"San Diego,California + 13 more",27 years old,10k-50k Employees (India)
Genpact Headstro...,3.9,(484 Reviews),Private,"New Delhi,New Delhi + 14 more",25 years old,1k-5k Employees (India)
Investors Clinic,4.1,(484 Reviews),"Noida,Uttar Pradesh + 21 more",14 years old,1k-5k Employees (India),
VeeTechnologies,3.8,(483 Reviews),Private,New York + 16 more,23 years old,1k-5k Employees (India)
Indira IVF Hospi...,4.2,(483 Reviews),Private,"Udaipur,Rajasthan + 70 more",8 years old,1k-5k Employees (India)
Allscripts,4.3,(484 Reviews),Private,"Chicago,Illinois + 4 more",41 years old,1k-5k Employees (India)
AVEVA,4.3,(482 Reviews),Private,"Cambridge,Cambridgeshire + 8 more",56 years old,1k-5k Employees (India)
Federal Bank,4.2,(809 Reviews),Public,"Aluva,Kerala + 97 more",92 years old,10k-50k Employees (India)
Timken,4.0,(481 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 30 more",25 years old,1k-5k Employees (India)
PharmEasy,3.6,(1.8k Reviews),Private,"Mumbai,Maharashtra + 39 more",8 years old,1k-5k Employees (India)
Amara Raja Group,4.1,(1.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 62 more",38 years old,10k-50k Employees (India)
Athena BPO,3.3,(479 Reviews),Private,"Mumbai,Maharashtra + 20 more",4 years old,201-500 Employees (India)
Michelin,4.0,(479 Reviews),Private,Clermont-Ferrand + 36 more,14 years old,1k-5k Employees (India)
Electrosteel Ste...,4.2,(479 Reviews),Public,Jharkhand + 13 more,17 years old,501-1k Employees (India)
DLF,4.1,(479 Reviews),Public,"Gurgaon/Gurugram,Haryana + 21 more",77 years old,1k-5k Employees (India)
Willis Towers Wa...,4.0,(674 Reviews),Private,London + 13 more,7 years old,1k-5k Employees (India)
Defence Research...,4.4,(539 Reviews),Private,"Delhi/NCR,New Delhi + 33 more",65 years old,10k-50k Employees (India)
Mu Sigma,3.4,(478 Reviews),Private,"Northbrook,Illinois + 4 more",19 years old,1k-5k Employees (India)
Country Holidays...,4.5,(478 Reviews),Private,"Noida,Uttar Pradesh + 17 more",7 years old,501-1k Employees (India)
L&T Power,3.9,(477 Reviews),Public,"Mumbai,Maharashtra + 74 more",17 years old,1k-5k Employees (India)
Capital Numbers ...,4.8,(477 Reviews),Private,"Kolkata,West Bengal + 3 more",11 years old,501-1k Employees (India)
Lakshmi Machine ...,3.9,(473 Reviews),Public,"Coimbatore,Tamil Nadu + 17 more",61 years old,1k-5k Employees (India)
Lumen Technologi...,3.9,(473 Reviews),"Monroe,Louisiana + 10 more",93 years old,1k-5k Employees (India),
JioMart,3.9,(473 Reviews),Kolkata + 151 more,51-200 Employees (India),,
General Mills,4.4,(486 Reviews),Private,"Minneapolis,Minnesota + 34 more",95 years old,1k-5k Employees (India)
ICICI Prudential...,4.0,(472 Reviews),JV,New Delhi + 115 more,30 years old,1k-5k Employees (India)
J B Chemicals An...,4.0,(471 Reviews),Public,"Mumbai,Maharashtra + 49 more",47 years old,1k-5k Employees (India)
Royal Sundaram G...,4.1,(471 Reviews),JV,"Chennai,Tamil Nadu + 74 more",22 years old,1k-5k Employees (India)
CSB Bank,3.3,(471 Reviews),Private,"Thrissur/Trichur,Kerala + 104 more",103 years old,1k-5k Employees (India)
Spinny,4.1,(470 Reviews),Private,"Gurgaon,Haryana + 30 more",8 years old,1k-5k Employees (India)
K12 Techno Servi...,3.1,(470 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 19 more",13 years old,1k-5k Employees (India)
Quest Retail,4.4,(469 Reviews),Private,"Gurgaon/Gurugram,Haryana + 58 more",18 years old,501-1k Employees (India)
HCL Comnet,3.9,(468 Reviews),Noida + 36 more,,,
Royal Caribbean ...,4.7,(627 Reviews),Public,"Miami,Florida + 13 more",54 years old,501-1k Employees (India)
Jain Irrigation ...,3.9,(467 Reviews),Public,"Jalgaon,Maharashtra + 70 more",60 years old,1k-5k Employees (India)
Schlumberger,4.3,(563 Reviews),Private,"Houston,Texas + 31 more",97 years old,5k-10k Employees (India)
Sri Chaitanya Sc...,4.1,(465 Reviews),Public,Hyderabad + 72 more,37 years old,11-50 Employees (India)
Artech Infosyste...,3.6,(464 Reviews),Private,"Morristown,New Jersey + 16 more",31 years old,1k-5k Employees (India)
Velocis Systems,4.0,(464 Reviews),Private,"Noida,Uttar Pradesh + 36 more",28 years old,1k-5k Employees (India)
Reliance Power,4.2,(464 Reviews),Public,"Navi Mumbai,Maharashtra + 27 more",28 years old,1k-5k Employees (India)
Aparna Construct...,4.1,(464 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 13 more",27 years old,1k-5k Employees (India)
Panasonic Life S...,4.2,(464 Reviews),Mumbai + 58 more,60 years old,1k-5k Employees (India),
Page Industries,4.4,(463 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 52 more",29 years old,10k-50k Employees (India)
